cohort,subset,arm,family,n,mean,median,sample_sd,q05,q25,q50,q75,q95,minimum,maximum,native_standardized_median_location
generic_medium,selected,Low,material_chroma,1,2.811817374247105,2.811817374247105,,2.811817374247105,2.811817374247105,2.811817374247105,2.811817374247105,2.811817374247105,2.811817374247105,2.811817374247105,0.28774022962016416
generic_medium,selected,Low,spatial_frequency,3,2.1853840937684077,1.9208986927742286,0.7054799550095362,1.677418862040289,1.7856321201442622,1.9208986927742286,2.4528933668954642,2.8784891061924522,1.6503655475142958,2.9848880410166996,-0.16779396165013508
generic_medium,selected,Low,texture_realization,23,2.2382825238034973,2.1028798094686447,0.9144361973948234,1.2451236319020225,1.5141465951461175,2.1028798094686447,2.788278347767576,3.9788216070341567,1.0035761303361728,4.154925025580928,-0.07474549096052298
historical_medium,retained_pool,Pool,baseline,19200,1.7535058798166605,1.5495407664901388,0.9334795981656353,0.5917492264513627,0.9930791252204214,1.5495407664901388,2.3899025045755726,3.488150045212263,0.3129208456325407,5.876980711479041,-0.35767238281195296
historical_medium,retained_pool,Pool,fine_detail,38399,1.970661540915089,1.7635629818704701,1.0289852656730747,0.6637975360497812,1.1275267983788178,1.7635629818704701,2.6944881503724187,3.8657724954682657,0.33985358790992987,6.193268413469901,-0.24824102973270426
historical_medium,retained_pool,Pool,material_chroma,38400,1.7576104184579933,1.553073738268675,0.9332805195652539,0.5962796223711513,0.9959784760105321,1.553073738268675,2.393448494481421,3.4886331933170394,0.3083747802241048,5.877380016777239,-0.35586594472126704
historical_medium,retained_pool,Pool,spatial_frequency,96000,1.80840677086523,1.6041224254297826,0.9344139256058532,0.6410048357646995,1.05486386624096,1.6041224254297826,2.437691872301697,3.533023947885758,0.3455060648958591,6.086299555082114,-0.3297643229852617
historical_medium,retained_pool,Pool,texture_realization,115201,1.7574710652782146,1.5417012616637888,0.9501327242691039,0.6017726816843927,0.9925672584707046,1.5417012616637888,2.370090238982268,3.5324847371023975,0.29253212791948563,6.769821539889652,-0.36168078735581893
historical_medium,selected,High,baseline,11,2.175693292464891,2.038104352882552,0.8560509322097748,1.1115360033130437,1.6932249621553779,2.038104352882552,2.7247042192870685,3.4658459913663213,1.0094213820746647,3.9137884834689003,-0.10786572498831105
historical_medium,selected,High,fine_detail,15,1.531133443351361,1.5718959133797308,0.40791360270818827,0.88567752697054,1.272493717036707,1.5718959133797308,1.8264351571057391,2.1161801627799406,0.8301045196553277,2.188950518811371,-0.34624200878248096
historical_medium,selected,High,material_chroma,8,1.641538065435436,1.4375909269955054,0.9614610071209729,0.8180129747793385,0.9703388000258828,1.4375909269955054,1.8171297190960676,3.1824649455915734,0.801575054033309,3.7321568041485134,-0.4149132743293683
historical_medium,selected,High,spatial_frequency,39,1.148209412668057,0.939448617931404,0.5877890316332515,0.6031883737544776,0.7146861548183903,0.939448617931404,1.3510491479483635,2.066151165962164,0.5516451465242647,3.4235368170435905,-0.6696176133627434
historical_medium,selected,High,texture_realization,77,1.9960632488346939,2.024363551107752,0.7738805825545962,0.7634628532553921,1.3614430357131475,2.024363551107752,2.540511403990186,3.216300036431755,0.6474972420193672,3.7476566899290864,-0.11489151213820108
historical_medium,selected,Low,baseline,11,1.6905428414065462,1.6564118248778228,0.8231644781959556,0.6870346561572598,1.0337789729146585,1.6564118248778228,2.206768736459142,2.9284267691667454,0.5166881607557922,2.978698065765014,-0.3030283146548563
historical_medium,selected,Low,fine_detail,15,1.6036231498303948,1.4707279484348657,0.7056100351337702,0.5240778212350548,1.2659646511831493,1.4707279484348657,2.2511384515545494,2.4958971617590198,0.47128478435647747,2.5750810369469574,-0.3979700374477146
historical_medium,selected,Low,material_chroma,8,1.691500531269248,1.7407144714104854,0.5168973105528472,0.9135018557964478,1.5344520385731755,1.7407144714104854,1.964639797765097,2.307428108841833,0.7811824231791523,2.368755286622772,-0.25992366469206224
historical_medium,selected,Low,spatial_frequency,39,1.577417855047955,1.198852810348273,0.9638863383039343,0.60051472783105,0.7951210462989556,1.198852810348273,2.128570376353769,3.4101326947343806,0.4547626812112628,4.139733917915591,-0.5369820749436951
historical_medium,selected,Low,texture_realization,77,1.6932334381688134,1.701954150676631,0.8703969344886816,0.5714713039079208,0.8656098160043577,1.701954150676631,2.428075921291013,3.183368156246309,0.3925089385536883,3.593578587533231,-0.27974214164854905
