domain,family,metric,seed,head_minus_full_did
xview_test,vessel,ap75,20260731,0.00737135758852113
xview_test,vessel,ap75,20260732,0.011213666933670569
xview_test,aggregate,ap50_95,20260723,0.0034380828519406798
xview_test,aggregate,ap50_95,20260724,0.004254129237237073
xview_test,aggregate,ap50_95,20260725,0.0014351343245915804
xview_test,aggregate,ap50_95,20260726,0.003486881340350856
xview_test,aggregate,ap50_95,20260727,0.005017526280984619
xview_test,aggregate,ap50_95,20260728,0.00467042173531676
xview_test,aggregate,ap50_95,20260729,0.001423256324901867
xview_test,aggregate,ap50_95,20260730,0.0023620784863443434
xview_test,aggregate,ap50_95,20260731,0.0022285290075753084
xview_test,aggregate,ap50_95,20260732,0.00517480391491941
xview_test,aggregate,ap50,20260723,0.005841581207580049
xview_test,aggregate,ap50,20260724,0.0076852050696560315
xview_test,aggregate,ap50,20260725,0.003932366615264138
xview_test,aggregate,ap50,20260726,0.006945875987038108
xview_test,aggregate,ap50,20260727,0.010527235038201577
xview_test,aggregate,ap50,20260728,0.012008878905138187
xview_test,aggregate,ap50,20260729,0.006114496406873338
xview_test,aggregate,ap50,20260730,0.006073281521801588
xview_test,aggregate,ap50,20260731,0.007144775772557621
xview_test,aggregate,ap50,20260732,0.012784029627987803
xview_test,aggregate,ap75,20260723,0.0002607085055982977
xview_test,aggregate,ap75,20260724,0.004272056799392715
xview_test,aggregate,ap75,20260725,0.002533691277794556
xview_test,aggregate,ap75,20260726,0.001651444997826268
xview_test,aggregate,ap75,20260727,0.002458935708329668
xview_test,aggregate,ap75,20260728,0.0026527334178199774
xview_test,aggregate,ap75,20260729,-0.0016552373016796018
xview_test,aggregate,ap75,20260730,0.0007027637613411658
xview_test,aggregate,ap75,20260731,-0.0017765676062202196
xview_test,aggregate,ap75,20260732,0.004949696699048739
hrsc2016_ms,vessel,ap50_95,20260723,8.543818289399874e-05
hrsc2016_ms,vessel,ap50_95,20260724,0.003412741167655886
hrsc2016_ms,vessel,ap50_95,20260725,0.004465996975858838
hrsc2016_ms,vessel,ap50_95,20260726,0.004467136990467163
hrsc2016_ms,vessel,ap50_95,20260727,-7.885759713729956e-05
hrsc2016_ms,vessel,ap50_95,20260728,0.0043558499736026934
hrsc2016_ms,vessel,ap50_95,20260729,0.004196440736953938
hrsc2016_ms,vessel,ap50_95,20260730,-4.399379015945781e-05
hrsc2016_ms,vessel,ap50_95,20260731,0.004147767222991122
hrsc2016_ms,vessel,ap50_95,20260732,0.006796718980271149
hrsc2016_ms,vessel,ap50,20260723,0.00809160304031134
hrsc2016_ms,vessel,ap50,20260724,0.01394253653815647
hrsc2016_ms,vessel,ap50,20260725,0.013357262603770181
hrsc2016_ms,vessel,ap50,20260726,0.01634524701230264
hrsc2016_ms,vessel,ap50,20260727,0.009339465386129786
hrsc2016_ms,vessel,ap50,20260728,0.00858021400363157
hrsc2016_ms,vessel,ap50,20260729,0.014275423529431536
hrsc2016_ms,vessel,ap50,20260730,0.011447820492403143
hrsc2016_ms,vessel,ap50,20260731,0.01383662792795376
hrsc2016_ms,vessel,ap50,20260732,0.01771286539588235
hrsc2016_ms,vessel,ap75,20260723,-0.005995323883611403
hrsc2016_ms,vessel,ap75,20260724,-0.0014663651626919405
hrsc2016_ms,vessel,ap75,20260725,0.0016106457288699166
hrsc2016_ms,vessel,ap75,20260726,0.0016799887958059562
hrsc2016_ms,vessel,ap75,20260727,-0.00346893296226132
hrsc2016_ms,vessel,ap75,20260728,0.005456577366671336
hrsc2016_ms,vessel,ap75,20260729,0.001521069350635701
hrsc2016_ms,vessel,ap75,20260730,-0.006896691844452907
hrsc2016_ms,vessel,ap75,20260731,-0.00048753651443249335
hrsc2016_ms,vessel,ap75,20260732,-0.00022934711675609565
hrsc2016_ms,aggregate,ap50_95,20260723,8.543818289399874e-05
hrsc2016_ms,aggregate,ap50_95,20260724,0.003412741167655886
hrsc2016_ms,aggregate,ap50_95,20260725,0.004465996975858838
hrsc2016_ms,aggregate,ap50_95,20260726,0.004467136990467163
hrsc2016_ms,aggregate,ap50_95,20260727,-7.885759713729956e-05
hrsc2016_ms,aggregate,ap50_95,20260728,0.0043558499736026934
hrsc2016_ms,aggregate,ap50_95,20260729,0.004196440736953938
hrsc2016_ms,aggregate,ap50_95,20260730,-4.399379015945781e-05
hrsc2016_ms,aggregate,ap50_95,20260731,0.004147767222991122
hrsc2016_ms,aggregate,ap50_95,20260732,0.006796718980271149
hrsc2016_ms,aggregate,ap50,20260723,0.00809160304031134
hrsc2016_ms,aggregate,ap50,20260724,0.01394253653815647
hrsc2016_ms,aggregate,ap50,20260725,0.013357262603770181
hrsc2016_ms,aggregate,ap50,20260726,0.01634524701230264
hrsc2016_ms,aggregate,ap50,20260727,0.009339465386129786
hrsc2016_ms,aggregate,ap50,20260728,0.00858021400363157
hrsc2016_ms,aggregate,ap50,20260729,0.014275423529431536
hrsc2016_ms,aggregate,ap50,20260730,0.011447820492403143
hrsc2016_ms,aggregate,ap50,20260731,0.01383662792795376
hrsc2016_ms,aggregate,ap50,20260732,0.01771286539588235
hrsc2016_ms,aggregate,ap75,20260723,-0.005995323883611403
hrsc2016_ms,aggregate,ap75,20260724,-0.0014663651626919405
hrsc2016_ms,aggregate,ap75,20260725,0.0016106457288699166
hrsc2016_ms,aggregate,ap75,20260726,0.0016799887958059562
hrsc2016_ms,aggregate,ap75,20260727,-0.00346893296226132
hrsc2016_ms,aggregate,ap75,20260728,0.005456577366671336
hrsc2016_ms,aggregate,ap75,20260729,0.001521069350635701
hrsc2016_ms,aggregate,ap75,20260730,-0.006896691844452907
hrsc2016_ms,aggregate,ap75,20260731,-0.00048753651443249335
hrsc2016_ms,aggregate,ap75,20260732,-0.00022934711675609565
dior_public_mirror,vessel,ap50_95,20260723,0.011730889811798473
dior_public_mirror,vessel,ap50_95,20260724,0.0031989670293594424
dior_public_mirror,vessel,ap50_95,20260725,0.003744661837439437
dior_public_mirror,vessel,ap50_95,20260726,0.003766800144215404
dior_public_mirror,vessel,ap50_95,20260727,0.001414087180288813
dior_public_mirror,vessel,ap50_95,20260728,0.005485616095886502
dior_public_mirror,vessel,ap50_95,20260729,0.009588085636618199
dior_public_mirror,vessel,ap50_95,20260730,0.0004790889294456757
dior_public_mirror,vessel,ap50_95,20260731,0.0034857905459251444
dior_public_mirror,vessel,ap50_95,20260732,0.004673548128546295
dior_public_mirror,vessel,ap50,20260723,0.0368450135092596
dior_public_mirror,vessel,ap50,20260724,0.011312867764408742
dior_public_mirror,vessel,ap50,20260725,0.011038881671640063
dior_public_mirror,vessel,ap50,20260726,0.011376670862353652
dior_public_mirror,vessel,ap50,20260727,0.004906007140683094
dior_public_mirror,vessel,ap50,20260728,0.016467715039290405
dior_public_mirror,vessel,ap50,20260729,0.028313614421654226
dior_public_mirror,vessel,ap50,20260730,0.004075664011340359
dior_public_mirror,vessel,ap50,20260731,0.009200941472082669
dior_public_mirror,vessel,ap50,20260732,0.012082846181982576
dior_public_mirror,vessel,ap75,20260723,0.003943506458324355
dior_public_mirror,vessel,ap75,20260724,0.0011743524149875131
dior_public_mirror,vessel,ap75,20260725,0.0010461883838477105
dior_public_mirror,vessel,ap75,20260726,0.0023874564954804132
dior_public_mirror,vessel,ap75,20260727,0.00041472164984845614
dior_public_mirror,vessel,ap75,20260728,0.0035294842100497773
dior_public_mirror,vessel,ap75,20260729,0.004431725641538434
dior_public_mirror,vessel,ap75,20260730,-0.0002985809904158202
dior_public_mirror,vessel,ap75,20260731,0.0025077274051668267
dior_public_mirror,vessel,ap75,20260732,0.004058580822943896
dior_public_mirror,aggregate,ap50_95,20260723,0.011730889811798473
dior_public_mirror,aggregate,ap50_95,20260724,0.0031989670293594424
dior_public_mirror,aggregate,ap50_95,20260725,0.003744661837439437
dior_public_mirror,aggregate,ap50_95,20260726,0.003766800144215404
dior_public_mirror,aggregate,ap50_95,20260727,0.001414087180288813
dior_public_mirror,aggregate,ap50_95,20260728,0.005485616095886502
dior_public_mirror,aggregate,ap50_95,20260729,0.009588085636618199
dior_public_mirror,aggregate,ap50_95,20260730,0.0004790889294456757
dior_public_mirror,aggregate,ap50_95,20260731,0.0034857905459251444
dior_public_mirror,aggregate,ap50_95,20260732,0.004673548128546295
dior_public_mirror,aggregate,ap50,20260723,0.0368450135092596
dior_public_mirror,aggregate,ap50,20260724,0.011312867764408742
dior_public_mirror,aggregate,ap50,20260725,0.011038881671640063
dior_public_mirror,aggregate,ap50,20260726,0.011376670862353652
dior_public_mirror,aggregate,ap50,20260727,0.004906007140683094
dior_public_mirror,aggregate,ap50,20260728,0.016467715039290405
dior_public_mirror,aggregate,ap50,20260729,0.028313614421654226
dior_public_mirror,aggregate,ap50,20260730,0.004075664011340359
dior_public_mirror,aggregate,ap50,20260731,0.009200941472082669
dior_public_mirror,aggregate,ap50,20260732,0.012082846181982576
dior_public_mirror,aggregate,ap75,20260723,0.003943506458324355
dior_public_mirror,aggregate,ap75,20260724,0.0011743524149875131
dior_public_mirror,aggregate,ap75,20260725,0.0010461883838477105
dior_public_mirror,aggregate,ap75,20260726,0.0023874564954804132
dior_public_mirror,aggregate,ap75,20260727,0.00041472164984845614
dior_public_mirror,aggregate,ap75,20260728,0.0035294842100497773
dior_public_mirror,aggregate,ap75,20260729,0.004431725641538434
dior_public_mirror,aggregate,ap75,20260730,-0.0002985809904158202
dior_public_mirror,aggregate,ap75,20260731,0.0025077274051668267
dior_public_mirror,aggregate,ap75,20260732,0.004058580822943896
