dataset,metric_family,metric,scope,learning_rate_label,mean_effect,sample_sd,ci95_low,ci95_high,positive_seeds,n_seeds,t_p_two_sided,sign_p_two_sided
xview_test,aggregate,ap75,full_network,1e-4,-0.0028474967068520375,0.0032656926980778886,-0.005183632531200028,-0.000511360882504047,2,10,0.02220912050052277,0.109375
xview_test,aggregate,ap75,full_network,2e-4,-0.001089591165988106,0.005747650436531337,-0.005201212598866104,0.0030220302668898915,4,10,0.5636391178049092,0.75390625
hrsc2016_ms,vessel,ap50_95,head_only,1e-4,0.01436300854180309,0.0009664514792508574,0.013671650801835425,0.015054366281770756,10,10,4.477725237873075e-12,0.001953125
hrsc2016_ms,vessel,ap50_95,head_only,2e-4,0.008981000189221095,0.01307882624037687,-0.0003750284838228424,0.018337028862265032,9,10,0.05797352520920072,0.021484375
hrsc2016_ms,vessel,ap50_95,full_network,1e-4,0.008175240036839523,0.003267781183395203,0.005837610200096774,0.010512869873582272,10,10,2.4194454292582928e-05,0.001953125
hrsc2016_ms,vessel,ap50_95,full_network,2e-4,0.0055743633203110595,0.005467644403108507,0.0016630461371555357,0.009485680503466584,9,10,0.010422363565927916,0.021484375
hrsc2016_ms,vessel,ap50,head_only,1e-4,0.0265780585278937,0.002185965367104174,0.02501431310632303,0.028141803949464368,10,10,2.7049975725245777e-11,0.001953125
hrsc2016_ms,vessel,ap50,head_only,2e-4,0.014816023295207476,0.02547157947755642,-0.003405246990043161,0.033037293580458114,9,10,0.09900625856690597,0.021484375
hrsc2016_ms,vessel,ap50,full_network,1e-4,0.004922078070634134,0.0070417047861064605,-0.00011525407791380428,0.009959410219182072,8,10,0.05440980779731055,0.109375
hrsc2016_ms,vessel,ap50,full_network,2e-4,0.0015008925648945294,0.010806562678706864,-0.006229656677123271,0.009231441806912329,5,10,0.6708725585168159,1.0
hrsc2016_ms,vessel,ap75,head_only,1e-4,0.013893993211681476,0.0014154514294452065,0.012881440256561799,0.014906546166801154,10,10,1.8321565745211232e-10,0.001953125
hrsc2016_ms,vessel,ap75,head_only,2e-4,0.0099912512525079,0.010815621733303632,0.0022542215532227357,0.017728280951793064,9,10,0.016997280030891793,0.021484375
hrsc2016_ms,vessel,ap75,full_network,1e-4,0.014438882277239839,0.004031740179600723,0.011554749096683053,0.017323015457796624,10,10,1.2587886881156524e-06,0.001953125
hrsc2016_ms,vessel,ap75,full_network,2e-4,0.012015704813652247,0.008213847602581198,0.0061398722065551985,0.017891537420749296,10,10,0.0012437692961514756,0.001953125
hrsc2016_ms,aggregate,ap50_95,head_only,1e-4,0.01436300854180309,0.0009664514792508574,0.013671650801835425,0.015054366281770756,10,10,4.477725237873075e-12,0.001953125
hrsc2016_ms,aggregate,ap50_95,head_only,2e-4,0.008981000189221095,0.01307882624037687,-0.0003750284838228424,0.018337028862265032,9,10,0.05797352520920072,0.021484375
hrsc2016_ms,aggregate,ap50_95,full_network,1e-4,0.008175240036839523,0.003267781183395203,0.005837610200096774,0.010512869873582272,10,10,2.4194454292582928e-05,0.001953125
hrsc2016_ms,aggregate,ap50_95,full_network,2e-4,0.0055743633203110595,0.005467644403108507,0.0016630461371555357,0.009485680503466584,9,10,0.010422363565927916,0.021484375
hrsc2016_ms,aggregate,ap50,head_only,1e-4,0.0265780585278937,0.002185965367104174,0.02501431310632303,0.028141803949464368,10,10,2.7049975725245777e-11,0.001953125
hrsc2016_ms,aggregate,ap50,head_only,2e-4,0.014816023295207476,0.02547157947755642,-0.003405246990043161,0.033037293580458114,9,10,0.09900625856690597,0.021484375
hrsc2016_ms,aggregate,ap50,full_network,1e-4,0.004922078070634134,0.0070417047861064605,-0.00011525407791380428,0.009959410219182072,8,10,0.05440980779731055,0.109375
hrsc2016_ms,aggregate,ap50,full_network,2e-4,0.0015008925648945294,0.010806562678706864,-0.006229656677123271,0.009231441806912329,5,10,0.6708725585168159,1.0
hrsc2016_ms,aggregate,ap75,head_only,1e-4,0.013893993211681476,0.0014154514294452065,0.012881440256561799,0.014906546166801154,10,10,1.8321565745211232e-10,0.001953125
hrsc2016_ms,aggregate,ap75,head_only,2e-4,0.0099912512525079,0.010815621733303632,0.0022542215532227357,0.017728280951793064,9,10,0.016997280030891793,0.021484375
hrsc2016_ms,aggregate,ap75,full_network,1e-4,0.014438882277239839,0.004031740179600723,0.011554749096683053,0.017323015457796624,10,10,1.2587886881156524e-06,0.001953125
hrsc2016_ms,aggregate,ap75,full_network,2e-4,0.012015704813652247,0.008213847602581198,0.0061398722065551985,0.017891537420749296,10,10,0.0012437692961514756,0.001953125
dior_public_mirror,vessel,ap50_95,head_only,1e-4,0.04315831824174037,0.001773098859262953,0.04188991972779791,0.044426716755682834,10,10,5.3356816090013944e-14,0.001953125
dior_public_mirror,vessel,ap50_95,head_only,2e-4,0.042356861733870765,0.01714951298790407,0.03008883918393998,0.05462488428380155,9,10,2.6796911141102002e-05,0.021484375
dior_public_mirror,vessel,ap50_95,full_network,1e-4,0.011665526547028284,0.0019199098800668846,0.010292105755481128,0.01303894733857544,10,10,1.2925889071541429e-08,0.001953125
dior_public_mirror,vessel,ap50_95,full_network,2e-4,0.011098474779728324,0.003944520331348504,0.008276734919956476,0.013920214639500172,10,10,9.375659765509818e-06,0.001953125
dior_public_mirror,vessel,ap50,head_only,1e-4,0.11492595856332766,0.004784879692890055,0.11150306183077996,0.11834885529587535,10,10,6.014190950825951e-14,0.001953125
dior_public_mirror,vessel,ap50,head_only,2e-4,0.11310478674401268,0.04675755594385405,0.07965644619326699,0.1465531272947584,9,10,3.160557913216922e-05,0.021484375
dior_public_mirror,vessel,ap50,full_network,1e-4,0.027754636495102826,0.004122340899762396,0.02480569146369247,0.03070358152651318,10,10,5.226514543652632e-09,0.001953125
dior_public_mirror,vessel,ap50,full_network,2e-4,0.028747766273263486,0.012169229443258107,0.020042423950687255,0.03745310859583972,10,10,3.809595541576531e-05,0.001953125
dior_public_mirror,vessel,ap75,head_only,1e-4,0.019163703609169618,0.0014941346382862863,0.018094864077221544,0.020232543141117693,10,10,1.67636865009189e-11,0.001953125
dior_public_mirror,vessel,ap75,head_only,2e-4,0.017938817727462884,0.0069409575914461735,0.012973555780372351,0.022904079674553417,9,10,1.8651968976239552e-05,0.021484375
dior_public_mirror,vessel,ap75,full_network,1e-4,0.0071551647317934465,0.0013879939682721308,0.0061622536611443506,0.008148075802442542,10,10,5.465055561489938e-08,0.001953125
dior_public_mirror,vessel,ap75,full_network,2e-4,0.005963272326189883,0.0022888860637003297,0.004325901873541841,0.007600642778837924,10,10,1.7487157256323757e-05,0.001953125
dior_public_mirror,aggregate,ap50_95,head_only,1e-4,0.04315831824174037,0.001773098859262953,0.04188991972779791,0.044426716755682834,10,10,5.3356816090013944e-14,0.001953125
dior_public_mirror,aggregate,ap50_95,head_only,2e-4,0.042356861733870765,0.01714951298790407,0.03008883918393998,0.05462488428380155,9,10,2.6796911141102002e-05,0.021484375
dior_public_mirror,aggregate,ap50_95,full_network,1e-4,0.011665526547028284,0.0019199098800668846,0.010292105755481128,0.01303894733857544,10,10,1.2925889071541429e-08,0.001953125
dior_public_mirror,aggregate,ap50_95,full_network,2e-4,0.011098474779728324,0.003944520331348504,0.008276734919956476,0.013920214639500172,10,10,9.375659765509818e-06,0.001953125
dior_public_mirror,aggregate,ap50,head_only,1e-4,0.11492595856332766,0.004784879692890055,0.11150306183077996,0.11834885529587535,10,10,6.014190950825951e-14,0.001953125
dior_public_mirror,aggregate,ap50,head_only,2e-4,0.11310478674401268,0.04675755594385405,0.07965644619326699,0.1465531272947584,9,10,3.160557913216922e-05,0.021484375
dior_public_mirror,aggregate,ap50,full_network,1e-4,0.027754636495102826,0.004122340899762396,0.02480569146369247,0.03070358152651318,10,10,5.226514543652632e-09,0.001953125
dior_public_mirror,aggregate,ap50,full_network,2e-4,0.028747766273263486,0.012169229443258107,0.020042423950687255,0.03745310859583972,10,10,3.809595541576531e-05,0.001953125
dior_public_mirror,aggregate,ap75,head_only,1e-4,0.019163703609169618,0.0014941346382862863,0.018094864077221544,0.020232543141117693,10,10,1.67636865009189e-11,0.001953125
dior_public_mirror,aggregate,ap75,head_only,2e-4,0.017938817727462884,0.0069409575914461735,0.012973555780372351,0.022904079674553417,9,10,1.8651968976239552e-05,0.021484375
dior_public_mirror,aggregate,ap75,full_network,1e-4,0.0071551647317934465,0.0013879939682721308,0.0061622536611443506,0.008148075802442542,10,10,5.465055561489938e-08,0.001953125
dior_public_mirror,aggregate,ap75,full_network,2e-4,0.005963272326189883,0.0022888860637003297,0.004325901873541841,0.007600642778837924,10,10,1.7487157256323757e-05,0.001953125
