dataset,metric_family,metric,contrast,mean,sample_sd,median,minimum,maximum,ci95_low,ci95_high,positive_seeds,n_seeds,t_p_two_sided,sign_p_two_sided
dior_public_mirror,vessel,ap50,marginal_did,0.08576417126948702,0.02654789442445253,0.09243535900208624,0.013192776349500689,0.10630496034679157,0.06677295165397479,0.10475539088499924,10,10,2.9946030557583205e-06,0.001953125
dior_public_mirror,vessel,ap50,three_way,-0.0028143015974756366,0.04712006599552625,0.008592045976715451,-0.13152914030637047,0.03811569139206994,-0.03652196621716882,0.030893363022217547,7,10,0.854384515126857,0.34375
dior_public_mirror,vessel,ap50,lrmod_head,-0.0018211718193149762,0.045779368566837654,0.011281946773729401,-0.13166906374363174,0.0193039318656745,-0.03456975927457866,0.030927415635948707,9,10,0.9026555270117823,0.021484375
dior_public_mirror,vessel,ap50,lrmod_full,0.000993129778160661,0.011375151037896717,0.0011460198215796635,-0.021171658559727122,0.018844405192724074,-0.007144163073258129,0.009130422629579452,5,10,0.7887148275257198,1.0
dior_public_mirror,vessel,ap75,marginal_did,0.011992042139324588,0.0037513730335344622,0.013055342492456788,0.0020026291983210546,0.015019457094510304,0.009308471532913589,0.014675612745735587,10,10,3.269585141414565e-06,0.001953125
dior_public_mirror,vessel,ap75,three_way,-3.2993476103167566e-05,0.00703156435955112,0.0013631692934298828,-0.017808184668806754,0.006346363904022269,-0.005063071600485255,0.00499708464827892,6,10,0.9884851256077757,0.75390625
dior_public_mirror,vessel,ap75,lrmod_head,-0.0012248858817067315,0.007321912220808235,0.0011167529170021638,-0.021698834500290462,0.003085021255516223,-0.006462666353772908,0.004012894590359446,7,10,0.6095898804662073,0.34375
dior_public_mirror,vessel,ap75,lrmod_full,-0.001191892405603564,0.0029765814736946485,-0.002495229991213793,-0.004574497941873024,0.004493981048255087,-0.003321210518995369,0.000937425707788241,4,10,0.23721460423110732,0.75390625
dior_public_mirror,aggregate,ap50_95,marginal_did,0.031375589324427265,0.009777165596454269,0.0334389472693043,0.004562058899721298,0.039020458996458035,0.02438142639418491,0.03836975225466962,10,10,3.1660353989982852e-06,0.001953125
dior_public_mirror,aggregate,ap50_95,three_way,-0.00023440474056964748,0.016730456347297504,0.0037746263769786997,-0.0462507098670963,0.01304556518749548,-0.01220265222864966,0.011733842747510364,8,10,0.9656282568892964,0.109375
dior_public_mirror,aggregate,ap50_95,lrmod_head,-0.0008014565078696079,0.017003960967179342,0.0041487399250834875,-0.04903140403229078,0.007254455827452384,-0.012965357414596973,0.011362444398857757,9,10,0.8848011316685528,0.021484375
dior_public_mirror,aggregate,ap50_95,lrmod_full,-0.0005670517672999604,0.003714038902874557,-0.0009098155403644125,-0.007319335414159536,0.00524098678575536,-0.0032239151455149854,0.0020898116109150646,5,10,0.6407576199881172,1.0
dior_public_mirror,aggregate,ap50,marginal_did,0.08576417126948702,0.02654789442445253,0.09243535900208624,0.013192776349500689,0.10630496034679157,0.06677295165397479,0.10475539088499924,10,10,2.9946030557583205e-06,0.001953125
dior_public_mirror,aggregate,ap50,three_way,-0.0028143015974756366,0.04712006599552625,0.008592045976715451,-0.13152914030637047,0.03811569139206994,-0.03652196621716882,0.030893363022217547,7,10,0.854384515126857,0.34375
dior_public_mirror,aggregate,ap50,lrmod_head,-0.0018211718193149762,0.045779368566837654,0.011281946773729401,-0.13166906374363174,0.0193039318656745,-0.03456975927457866,0.030927415635948707,9,10,0.9026555270117823,0.021484375
dior_public_mirror,aggregate,ap50,lrmod_full,0.000993129778160661,0.011375151037896717,0.0011460198215796635,-0.021171658559727122,0.018844405192724074,-0.007144163073258129,0.009130422629579452,5,10,0.7887148275257198,1.0
dior_public_mirror,aggregate,ap75,marginal_did,0.011992042139324588,0.0037513730335344622,0.013055342492456788,0.0020026291983210546,0.015019457094510304,0.009308471532913589,0.014675612745735587,10,10,3.269585141414565e-06,0.001953125
dior_public_mirror,aggregate,ap75,three_way,-3.2993476103167566e-05,0.00703156435955112,0.0013631692934298828,-0.017808184668806754,0.006346363904022269,-0.005063071600485255,0.00499708464827892,6,10,0.9884851256077757,0.75390625
dior_public_mirror,aggregate,ap75,lrmod_head,-0.0012248858817067315,0.007321912220808235,0.0011167529170021638,-0.021698834500290462,0.003085021255516223,-0.006462666353772908,0.004012894590359446,7,10,0.6095898804662073,0.34375
dior_public_mirror,aggregate,ap75,lrmod_full,-0.001191892405603564,0.0029765814736946485,-0.002495229991213793,-0.004574497941873024,0.004493981048255087,-0.003321210518995369,0.000937425707788241,4,10,0.23721460423110732,0.75390625
