model_size,dataset,scope,learning_rate,learning_rate_label,condition,metric_family,metric,n_seeds,mean,sample_sd
YOLO26n,dior_public_mirror,head_only,0.0001,1e-4,unity_medium150,vessel,ap50_95,10,0.025587468722937837,0.0008509431544337532
YOLO26n,dior_public_mirror,head_only,0.0001,1e-4,unity_medium150,vessel,ap75,10,0.016188047063544878,0.0005961337248892713
YOLO26n,dior_public_mirror,head_only,0.0002,2e-4,duplicate,aggregate,ap50,10,0.04970343503972229,0.0016834055002091853
YOLO26n,dior_public_mirror,head_only,0.0002,2e-4,duplicate,aggregate,ap50_95,10,0.02052532124033829,0.0006485177640950829
YOLO26n,dior_public_mirror,head_only,0.0002,2e-4,duplicate,aggregate,ap75,10,0.013093556434735374,0.00048760887426865226
YOLO26n,dior_public_mirror,head_only,0.0002,2e-4,duplicate,vessel,ap50,10,0.04970343503972229,0.0016834055002091853
YOLO26n,dior_public_mirror,head_only,0.0002,2e-4,duplicate,vessel,ap50_95,10,0.02052532124033829,0.0006485177640950829
YOLO26n,dior_public_mirror,head_only,0.0002,2e-4,duplicate,vessel,ap75,10,0.013093556434735374,0.00048760887426865226
YOLO26n,dior_public_mirror,head_only,0.0002,2e-4,unity_medium150,aggregate,ap50,10,0.06576930946784157,0.002535505459274871
YOLO26n,dior_public_mirror,head_only,0.0002,2e-4,unity_medium150,aggregate,ap50_95,10,0.027272458806312277,0.0009654818074332006
YOLO26n,dior_public_mirror,head_only,0.0002,2e-4,unity_medium150,aggregate,ap75,10,0.017254142453863607,0.0005743797712514781
YOLO26n,dior_public_mirror,head_only,0.0002,2e-4,unity_medium150,vessel,ap50,10,0.06576930946784157,0.002535505459274871
YOLO26n,dior_public_mirror,head_only,0.0002,2e-4,unity_medium150,vessel,ap50_95,10,0.027272458806312277,0.0009654818074332006
YOLO26n,dior_public_mirror,head_only,0.0002,2e-4,unity_medium150,vessel,ap75,10,0.017254142453863607,0.0005743797712514781
YOLO26n,hrsc2016_ms,full_network,0.0001,1e-4,duplicate,aggregate,ap50,10,0.20758570573540427,0.008164330917572965
YOLO26n,hrsc2016_ms,full_network,0.0001,1e-4,duplicate,aggregate,ap50_95,10,0.10718867416275121,0.004584228276954813
YOLO26n,hrsc2016_ms,full_network,0.0001,1e-4,duplicate,aggregate,ap75,10,0.10206625661671499,0.005416785209722985
YOLO26n,hrsc2016_ms,full_network,0.0001,1e-4,duplicate,vessel,ap50,10,0.20758570573540427,0.008164330917572965
YOLO26n,hrsc2016_ms,full_network,0.0001,1e-4,duplicate,vessel,ap50_95,10,0.10718867416275121,0.004584228276954813
YOLO26n,hrsc2016_ms,full_network,0.0001,1e-4,duplicate,vessel,ap75,10,0.10206625661671499,0.005416785209722985
YOLO26n,hrsc2016_ms,full_network,0.0001,1e-4,unity_medium150,aggregate,ap50,10,0.21353384269987852,0.006911212183005271
YOLO26n,hrsc2016_ms,full_network,0.0001,1e-4,unity_medium150,aggregate,ap50_95,10,0.11436215000542752,0.004013945904991438
YOLO26n,hrsc2016_ms,full_network,0.0001,1e-4,unity_medium150,aggregate,ap75,10,0.11137395841150871,0.004359952033486454
YOLO26n,hrsc2016_ms,full_network,0.0001,1e-4,unity_medium150,vessel,ap50,10,0.21353384269987852,0.006911212183005271
YOLO26n,hrsc2016_ms,full_network,0.0001,1e-4,unity_medium150,vessel,ap50_95,10,0.11436215000542752,0.004013945904991438
YOLO26n,hrsc2016_ms,full_network,0.0001,1e-4,unity_medium150,vessel,ap75,10,0.11137395841150871,0.004359952033486454
YOLO26n,hrsc2016_ms,full_network,0.0002,2e-4,duplicate,aggregate,ap50,10,0.19626929565648554,0.005129053154982174
YOLO26n,hrsc2016_ms,full_network,0.0002,2e-4,duplicate,aggregate,ap50_95,10,0.10111337182658998,0.0025588296711950547
YOLO26n,hrsc2016_ms,full_network,0.0002,2e-4,duplicate,aggregate,ap75,10,0.09462917680902407,0.003113637649547404
YOLO26n,hrsc2016_ms,full_network,0.0002,2e-4,duplicate,vessel,ap50,10,0.19626929565648554,0.005129053154982174
YOLO26n,hrsc2016_ms,full_network,0.0002,2e-4,duplicate,vessel,ap50_95,10,0.10111337182658998,0.0025588296711950547
YOLO26n,hrsc2016_ms,full_network,0.0002,2e-4,duplicate,vessel,ap75,10,0.09462917680902407,0.003113637649547404
YOLO26n,hrsc2016_ms,full_network,0.0002,2e-4,unity_medium150,aggregate,ap50,10,0.2012940365755354,0.008941809095291306
YOLO26n,hrsc2016_ms,full_network,0.0002,2e-4,unity_medium150,aggregate,ap50_95,10,0.10776687160454919,0.004313443512869358
YOLO26n,hrsc2016_ms,full_network,0.0002,2e-4,unity_medium150,aggregate,ap75,10,0.10388041355098541,0.004051407737537455
YOLO26n,hrsc2016_ms,full_network,0.0002,2e-4,unity_medium150,vessel,ap50,10,0.2012940365755354,0.008941809095291306
YOLO26n,hrsc2016_ms,full_network,0.0002,2e-4,unity_medium150,vessel,ap50_95,10,0.10776687160454919,0.004313443512869358
YOLO26n,hrsc2016_ms,full_network,0.0002,2e-4,unity_medium150,vessel,ap75,10,0.10388041355098541,0.004051407737537455
YOLO26n,hrsc2016_ms,head_only,0.0001,1e-4,duplicate,aggregate,ap50,10,0.23395028742204343,0.0011456831567597324
YOLO26n,hrsc2016_ms,head_only,0.0001,1e-4,duplicate,aggregate,ap50_95,10,0.1276198316015428,0.001196667158856849
YOLO26n,hrsc2016_ms,head_only,0.0001,1e-4,duplicate,aggregate,ap75,10,0.1323444387353689,0.0022379281934539683
YOLO26n,hrsc2016_ms,head_only,0.0001,1e-4,duplicate,vessel,ap50,10,0.23395028742204343,0.0011456831567597324
YOLO26n,hrsc2016_ms,head_only,0.0001,1e-4,duplicate,vessel,ap50_95,10,0.1276198316015428,0.001196667158856849
YOLO26n,hrsc2016_ms,head_only,0.0001,1e-4,duplicate,vessel,ap75,10,0.1323444387353689,0.0022379281934539683
YOLO26n,hrsc2016_ms,head_only,0.0001,1e-4,unity_medium150,aggregate,ap50,10,0.2533532834822761,0.0014564610597356874
YOLO26n,hrsc2016_ms,head_only,0.0001,1e-4,unity_medium150,aggregate,ap50_95,10,0.1387275183557011,0.0014053219351033257
YOLO26n,hrsc2016_ms,head_only,0.0001,1e-4,unity_medium150,aggregate,ap75,10,0.14345076649148109,0.0022358913327158356
YOLO26n,hrsc2016_ms,head_only,0.0001,1e-4,unity_medium150,vessel,ap50,10,0.2533532834822761,0.0014564610597356874
YOLO26n,hrsc2016_ms,head_only,0.0001,1e-4,unity_medium150,vessel,ap50_95,10,0.1387275183557011,0.0014053219351033257
YOLO26n,hrsc2016_ms,head_only,0.0001,1e-4,unity_medium150,vessel,ap75,10,0.14345076649148109,0.0022358913327158356
YOLO26n,hrsc2016_ms,head_only,0.0002,2e-4,duplicate,aggregate,ap50,10,0.23239619515404125,0.0015091720907904993
YOLO26n,hrsc2016_ms,head_only,0.0002,2e-4,duplicate,aggregate,ap50_95,10,0.12699538615779443,0.001193716024553219
YOLO26n,hrsc2016_ms,head_only,0.0002,2e-4,duplicate,aggregate,ap75,10,0.13221006657108333,0.001851942485508499
YOLO26n,hrsc2016_ms,head_only,0.0002,2e-4,duplicate,vessel,ap50,10,0.23239619515404125,0.0015091720907904993
YOLO26n,hrsc2016_ms,head_only,0.0002,2e-4,duplicate,vessel,ap50_95,10,0.12699538615779443,0.001193716024553219
YOLO26n,hrsc2016_ms,head_only,0.0002,2e-4,duplicate,vessel,ap75,10,0.13221006657108333,0.001851942485508499
YOLO26n,hrsc2016_ms,head_only,0.0002,2e-4,unity_medium150,aggregate,ap50,10,0.2531555956057354,0.002302343688709418
YOLO26n,hrsc2016_ms,head_only,0.0002,2e-4,unity_medium150,aggregate,ap50_95,10,0.1386923050211147,0.001641307273382332
YOLO26n,hrsc2016_ms,head_only,0.0002,2e-4,unity_medium150,aggregate,ap75,10,0.14312992431106294,0.0019994920056226927
YOLO26n,hrsc2016_ms,head_only,0.0002,2e-4,unity_medium150,vessel,ap50,10,0.2531555956057354,0.002302343688709418
YOLO26n,hrsc2016_ms,head_only,0.0002,2e-4,unity_medium150,vessel,ap50_95,10,0.1386923050211147,0.001641307273382332
YOLO26n,hrsc2016_ms,head_only,0.0002,2e-4,unity_medium150,vessel,ap75,10,0.14312992431106294,0.0019994920056226927
YOLO26n,xview_test,full_network,0.0001,1e-4,duplicate,aggregate,ap50,10,0.2848155942843433,0.005948821874873179
YOLO26n,xview_test,full_network,0.0001,1e-4,duplicate,aggregate,ap50_95,10,0.12532319964654545,0.0028731723722018212
YOLO26n,xview_test,full_network,0.0001,1e-4,duplicate,aggregate,ap75,10,0.08629888029915152,0.0030407906762733162
YOLO26n,xview_test,full_network,0.0001,1e-4,duplicate,vessel,ap50,10,0.1623936600454286,0.024745943506555703
YOLO26n,xview_test,full_network,0.0001,1e-4,duplicate,vessel,ap50_95,10,0.06695797388381539,0.01018384480234172
YOLO26n,xview_test,full_network,0.0001,1e-4,duplicate,vessel,ap75,10,0.0511643756512719,0.009554788523612344
YOLO26n,xview_test,full_network,0.0001,1e-4,unity_medium150,aggregate,ap50,10,0.27992419981441435,0.005710668037296555
YOLO26n,xview_test,full_network,0.0001,1e-4,unity_medium150,aggregate,ap50_95,10,0.12329521898710084,0.002468204005868305
YOLO26n,xview_test,full_network,0.0001,1e-4,unity_medium150,aggregate,ap75,10,0.0844391157168074,0.0017675153107707359
YOLO26n,xview_test,full_network,0.0001,1e-4,unity_medium150,vessel,ap50,10,0.14019828057739503,0.024107027126921726
YOLO26n,xview_test,full_network,0.0001,1e-4,unity_medium150,vessel,ap50_95,10,0.05907665142692377,0.009068015449162145
YOLO26n,xview_test,full_network,0.0001,1e-4,unity_medium150,vessel,ap75,10,0.045648955582523645,0.007841609269246376
YOLO26n,xview_test,full_network,0.0002,2e-4,duplicate,aggregate,ap50,10,0.2820233114473056,0.005147932303501238
YOLO26n,xview_test,full_network,0.0002,2e-4,duplicate,aggregate,ap50_95,10,0.1240668742172428,0.0024336992307843956
YOLO26n,xview_test,full_network,0.0002,2e-4,duplicate,aggregate,ap75,10,0.08404764213991368,0.0023046343781867804
YOLO26n,xview_test,full_network,0.0002,2e-4,duplicate,vessel,ap50,10,0.1521980212309176,0.018618452561923956
YOLO26n,xview_test,full_network,0.0002,2e-4,duplicate,vessel,ap50_95,10,0.060039793113769516,0.006464450038496461
YOLO26n,xview_test,full_network,0.0002,2e-4,duplicate,vessel,ap75,10,0.04179497891877199,0.005894398076275218
YOLO26n,xview_test,full_network,0.0002,2e-4,unity_medium150,aggregate,ap50,10,0.27839794151721897,0.004956899435975523
YOLO26n,xview_test,full_network,0.0002,2e-4,unity_medium150,aggregate,ap50_95,10,0.12304683430644323,0.0022249257234751144
YOLO26n,xview_test,full_network,0.0002,2e-4,unity_medium150,aggregate,ap75,10,0.08417727780491656,0.0029656320965135777
YOLO26n,xview_test,full_network,0.0002,2e-4,unity_medium150,vessel,ap50,10,0.1337818567846607,0.02208112456412625
YOLO26n,xview_test,full_network,0.0002,2e-4,unity_medium150,vessel,ap50_95,10,0.054933765356570775,0.006506632078442814
YOLO26n,xview_test,full_network,0.0002,2e-4,unity_medium150,vessel,ap75,10,0.04107986814673855,0.006755763936277362
YOLO26n,xview_test,head_only,0.0001,1e-4,duplicate,aggregate,ap50,10,0.2958540934954661,0.0017773328977998065
YOLO26n,xview_test,head_only,0.0001,1e-4,duplicate,aggregate,ap50_95,10,0.13114952464603066,0.0007523760652461912
YOLO26n,xview_test,head_only,0.0001,1e-4,duplicate,aggregate,ap75,10,0.0867523482027611,0.0005692263823437936
YOLO26n,xview_test,head_only,0.0001,1e-4,duplicate,vessel,ap50,10,0.15490959758578485,0.008609206762673011
YOLO26n,xview_test,head_only,0.0001,1e-4,duplicate,vessel,ap50_95,10,0.0651792227490873,0.0030882312036352288
YOLO26n,xview_test,head_only,0.0001,1e-4,duplicate,vessel,ap75,10,0.03523764267388064,0.0020913634743482657
YOLO26n,xview_test,head_only,0.0001,1e-4,unity_medium150,aggregate,ap50,10,0.29709531647818255,0.0013144345269954024
YOLO26n,xview_test,head_only,0.0001,1e-4,unity_medium150,aggregate,ap50_95,10,0.13184732108591277,0.0005973377121443659
YOLO26n,xview_test,head_only,0.0001,1e-4,unity_medium150,aggregate,ap75,10,0.08755498666391719,0.0006010266953045839
YOLO26n,xview_test,head_only,0.0001,1e-4,unity_medium150,vessel,ap50,10,0.16509963409833492,0.007041188214484389
YOLO26n,xview_test,head_only,0.0001,1e-4,unity_medium150,vessel,ap50_95,10,0.07076768920597078,0.0023410653353109013
YOLO26n,xview_test,head_only,0.0001,1e-4,unity_medium150,vessel,ap75,10,0.041183770328859774,0.002703779363084672
YOLO26n,xview_test,head_only,0.0002,2e-4,duplicate,aggregate,ap50,10,0.2949953845493862,0.002093315683166011
YOLO26n,xview_test,head_only,0.0002,2e-4,duplicate,aggregate,ap50_95,10,0.13086755308831627,0.0006706688899783835
YOLO26n,xview_test,head_only,0.0002,2e-4,duplicate,aggregate,ap75,10,0.0866373483959497,0.0008661166308788986
YOLO26n,xview_test,head_only,0.0002,2e-4,duplicate,vessel,ap50,10,0.14733784734042582,0.007897743703455902
YOLO26n,xview_test,head_only,0.0002,2e-4,duplicate,vessel,ap50_95,10,0.06111249981909252,0.0024783453294620994
YOLO26n,xview_test,head_only,0.0002,2e-4,duplicate,vessel,ap75,10,0.032620451577797506,0.0025797994466006217
YOLO26n,xview_test,head_only,0.0002,2e-4,unity_medium150,aggregate,ap50,10,0.2966456617340689,0.0021986034987846034
YOLO26n,xview_test,head_only,0.0002,2e-4,unity_medium150,aggregate,ap50_95,10,0.1317920561166236,0.0007235072671750034
YOLO26n,xview_test,head_only,0.0002,2e-4,unity_medium150,aggregate,ap75,10,0.08745055441362917,0.000912884285020268
YOLO26n,xview_test,head_only,0.0002,2e-4,unity_medium150,vessel,ap50,10,0.1591828545458783,0.008310615588137015
YOLO26n,xview_test,head_only,0.0002,2e-4,unity_medium150,vessel,ap50_95,10,0.06783105110391156,0.0023767911697285594
YOLO26n,xview_test,head_only,0.0002,2e-4,unity_medium150,vessel,ap75,10,0.03864742928286004,0.0021225224475733637
YOLO26s,dior_public_mirror,full_network,0.0001,1e-4,duplicate,aggregate,ap50,10,0.034745750773807836,0.011005993699615624
YOLO26s,dior_public_mirror,full_network,0.0001,1e-4,duplicate,aggregate,ap50_95,10,0.01496802935947094,0.0038725034646867025
YOLO26s,dior_public_mirror,full_network,0.0001,1e-4,duplicate,aggregate,ap75,10,0.009636451915615669,0.001583780622787145
YOLO26s,dior_public_mirror,full_network,0.0001,1e-4,duplicate,vessel,ap50,10,0.034745750773807836,0.011005993699615624
YOLO26s,dior_public_mirror,full_network,0.0001,1e-4,duplicate,vessel,ap50_95,10,0.01496802935947094,0.0038725034646867025
YOLO26s,dior_public_mirror,full_network,0.0001,1e-4,duplicate,vessel,ap75,10,0.009636451915615669,0.001583780622787145
YOLO26s,dior_public_mirror,full_network,0.0001,1e-4,unity_medium150,aggregate,ap50,10,0.042546511058403354,0.008523801609404602
YOLO26s,dior_public_mirror,full_network,0.0001,1e-4,unity_medium150,aggregate,ap50_95,10,0.018600775864503167,0.0031970699626231785
YOLO26s,dior_public_mirror,full_network,0.0001,1e-4,unity_medium150,aggregate,ap75,10,0.012461372888739644,0.0016815781052717433
YOLO26s,dior_public_mirror,full_network,0.0001,1e-4,unity_medium150,vessel,ap50,10,0.042546511058403354,0.008523801609404602
YOLO26s,dior_public_mirror,full_network,0.0001,1e-4,unity_medium150,vessel,ap50_95,10,0.018600775864503167,0.0031970699626231785
YOLO26s,dior_public_mirror,full_network,0.0001,1e-4,unity_medium150,vessel,ap75,10,0.012461372888739644,0.0016815781052717433
YOLO26s,dior_public_mirror,full_network,0.0002,2e-4,duplicate,aggregate,ap50,10,0.03342032078305167,0.007738915394848459
YOLO26s,dior_public_mirror,full_network,0.0002,2e-4,duplicate,aggregate,ap50_95,10,0.014645289708361667,0.0027085854946252747
YOLO26s,dior_public_mirror,full_network,0.0002,2e-4,duplicate,aggregate,ap75,10,0.010156508281482618,0.0011304512596605869
YOLO26s,dior_public_mirror,full_network,0.0002,2e-4,duplicate,vessel,ap50,10,0.03342032078305167,0.007738915394848459
YOLO26s,dior_public_mirror,full_network,0.0002,2e-4,duplicate,vessel,ap50_95,10,0.014645289708361667,0.0027085854946252747
YOLO26s,dior_public_mirror,full_network,0.0002,2e-4,duplicate,vessel,ap75,10,0.010156508281482618,0.0011304512596605869
YOLO26s,dior_public_mirror,full_network,0.0002,2e-4,unity_medium150,aggregate,ap50,10,0.04023935827059648,0.007501876072859196
YOLO26s,dior_public_mirror,full_network,0.0002,2e-4,unity_medium150,aggregate,ap50_95,10,0.017964508175144736,0.0027036880164517255
YOLO26s,dior_public_mirror,full_network,0.0002,2e-4,unity_medium150,aggregate,ap75,10,0.012352917075958862,0.0012857870896752208
YOLO26s,dior_public_mirror,full_network,0.0002,2e-4,unity_medium150,vessel,ap50,10,0.04023935827059648,0.007501876072859196
YOLO26s,dior_public_mirror,full_network,0.0002,2e-4,unity_medium150,vessel,ap50_95,10,0.017964508175144736,0.0027036880164517255
YOLO26s,dior_public_mirror,full_network,0.0002,2e-4,unity_medium150,vessel,ap75,10,0.012352917075958862,0.0012857870896752208
YOLO26s,dior_public_mirror,head_only,0.0001,1e-4,duplicate,aggregate,ap50,10,0.05061115469000997,0.004937133970418626
YOLO26s,dior_public_mirror,head_only,0.0001,1e-4,duplicate,aggregate,ap50_95,10,0.0218923009054676,0.0019200583940893223
YOLO26s,dior_public_mirror,head_only,0.0001,1e-4,duplicate,aggregate,ap75,10,0.013934172594662128,0.0010284470046898204
YOLO26s,dior_public_mirror,head_only,0.0001,1e-4,duplicate,vessel,ap50,10,0.05061115469000997,0.004937133970418626
YOLO26s,dior_public_mirror,head_only,0.0001,1e-4,duplicate,vessel,ap50_95,10,0.0218923009054676,0.0019200583940893223
YOLO26s,dior_public_mirror,head_only,0.0001,1e-4,duplicate,vessel,ap75,10,0.013934172594662128,0.0010284470046898204
YOLO26s,dior_public_mirror,head_only,0.0001,1e-4,unity_medium150,aggregate,ap50,10,0.08156708572247465,0.007449866305272704
YOLO26s,dior_public_mirror,head_only,0.0001,1e-4,unity_medium150,aggregate,ap50_95,10,0.03583434395742452,0.003175597474460047
YOLO26s,dior_public_mirror,head_only,0.0001,1e-4,unity_medium150,aggregate,ap75,10,0.02351522143616268,0.0021567743558363593
YOLO26s,dior_public_mirror,head_only,0.0001,1e-4,unity_medium150,vessel,ap50,10,0.08156708572247465,0.007449866305272704
YOLO26s,dior_public_mirror,head_only,0.0001,1e-4,unity_medium150,vessel,ap50_95,10,0.03583434395742452,0.003175597474460047
YOLO26s,dior_public_mirror,head_only,0.0001,1e-4,unity_medium150,vessel,ap75,10,0.02351522143616268,0.0021567743558363593
YOLO26s,dior_public_mirror,head_only,0.0002,2e-4,duplicate,aggregate,ap50,10,0.0569111721954729,0.004964284017335774
YOLO26s,dior_public_mirror,head_only,0.0002,2e-4,duplicate,aggregate,ap50_95,10,0.024397281736373767,0.0018693146491756197
YOLO26s,dior_public_mirror,head_only,0.0002,2e-4,duplicate,aggregate,ap75,10,0.014990190707950438,0.000855254601960152
YOLO26s,dior_public_mirror,head_only,0.0002,2e-4,duplicate,vessel,ap50,10,0.0569111721954729,0.004964284017335774
YOLO26s,dior_public_mirror,head_only,0.0002,2e-4,duplicate,vessel,ap50_95,10,0.024397281736373767,0.0018693146491756197
YOLO26s,dior_public_mirror,head_only,0.0002,2e-4,duplicate,vessel,ap75,10,0.014990190707950438,0.000855254601960152
YOLO26s,dior_public_mirror,head_only,0.0002,2e-4,unity_medium150,aggregate,ap50,10,0.09508649451509285,0.006967506329621344
YOLO26s,dior_public_mirror,head_only,0.0002,2e-4,unity_medium150,aggregate,ap50_95,10,0.04234296950995173,0.002873465890990518
YOLO26s,dior_public_mirror,head_only,0.0002,2e-4,unity_medium150,aggregate,ap75,10,0.028590740464183327,0.0018176518127408872
YOLO26s,dior_public_mirror,head_only,0.0002,2e-4,unity_medium150,vessel,ap50,10,0.09508649451509285,0.006967506329621344
YOLO26s,dior_public_mirror,head_only,0.0002,2e-4,unity_medium150,vessel,ap50_95,10,0.04234296950995173,0.002873465890990518
YOLO26s,dior_public_mirror,head_only,0.0002,2e-4,unity_medium150,vessel,ap75,10,0.028590740464183327,0.0018176518127408872
YOLO26s,hrsc2016_ms,full_network,0.0001,1e-4,duplicate,aggregate,ap50,10,0.2907422880549974,0.012252254060172676
YOLO26s,hrsc2016_ms,full_network,0.0001,1e-4,duplicate,aggregate,ap50_95,10,0.1560867550683848,0.006579659879731732
YOLO26s,hrsc2016_ms,full_network,0.0001,1e-4,duplicate,aggregate,ap75,10,0.15485749670271817,0.008983446201552418
YOLO26s,hrsc2016_ms,full_network,0.0001,1e-4,duplicate,vessel,ap50,10,0.2907422880549974,0.012252254060172676
YOLO26s,hrsc2016_ms,full_network,0.0001,1e-4,duplicate,vessel,ap50_95,10,0.1560867550683848,0.006579659879731732
YOLO26s,hrsc2016_ms,full_network,0.0001,1e-4,duplicate,vessel,ap75,10,0.15485749670271817,0.008983446201552418
YOLO26s,hrsc2016_ms,full_network,0.0001,1e-4,unity_medium150,aggregate,ap50,10,0.28738397847824626,0.013374171353952394
YOLO26s,hrsc2016_ms,full_network,0.0001,1e-4,unity_medium150,aggregate,ap50_95,10,0.1581832647359851,0.007753742006250902
YOLO26s,hrsc2016_ms,full_network,0.0001,1e-4,unity_medium150,aggregate,ap75,10,0.16131154890344637,0.009045917229853066
YOLO26s,hrsc2016_ms,full_network,0.0001,1e-4,unity_medium150,vessel,ap50,10,0.28738397847824626,0.013374171353952394
YOLO26s,hrsc2016_ms,full_network,0.0001,1e-4,unity_medium150,vessel,ap50_95,10,0.1581832647359851,0.007753742006250902
YOLO26s,hrsc2016_ms,full_network,0.0001,1e-4,unity_medium150,vessel,ap75,10,0.16131154890344637,0.009045917229853066
YOLO26s,hrsc2016_ms,full_network,0.0002,2e-4,duplicate,aggregate,ap50,10,0.2644517160109435,0.01360874067156633
YOLO26s,hrsc2016_ms,full_network,0.0002,2e-4,duplicate,aggregate,ap50_95,10,0.14139335830352012,0.007971731896209578
YOLO26s,hrsc2016_ms,full_network,0.0002,2e-4,duplicate,aggregate,ap75,10,0.1399851264605816,0.008787913639149833
YOLO26s,hrsc2016_ms,full_network,0.0002,2e-4,duplicate,vessel,ap50,10,0.2644517160109435,0.01360874067156633
YOLO26s,hrsc2016_ms,full_network,0.0002,2e-4,duplicate,vessel,ap50_95,10,0.14139335830352012,0.007971731896209578
YOLO26s,hrsc2016_ms,full_network,0.0002,2e-4,duplicate,vessel,ap75,10,0.1399851264605816,0.008787913639149833
YOLO26s,hrsc2016_ms,full_network,0.0002,2e-4,unity_medium150,aggregate,ap50,10,0.26376368884621676,0.008334348958135982
YOLO26s,hrsc2016_ms,full_network,0.0002,2e-4,unity_medium150,aggregate,ap50_95,10,0.14400309597255462,0.005867439500514769
YOLO26s,hrsc2016_ms,full_network,0.0002,2e-4,unity_medium150,aggregate,ap75,10,0.14641630196024674,0.007678686359192061
